Results for 108th Congress,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,congress,Results for 109th Congress,Results for 110th Congress,Results for 111th Congress,Results for 112th Congress,Results for 113th Congress,Results for 114th Congress,Results for 115th Congress,Results for 116th Congress,Results for 117th Congress,Results for 118th Congress,education_category,party_simplified,gender_simplified,education_ordered
,Roscoe,G.,,,06/03/1926,,2,U.S. Representative,Republican,MD,6,01/05/1993,01/03/2013,Seventh-Day Adventist,White,Doctorate degree,Agriculture,Business or banking,Education,Engineering,Real Estate,Did not serve,,,110,,Bartlett,,,,,,,,,Unknown,Republican,Male,Unknown
,Joe,Linus,,,09/15/1949,,2,U.S. Representative,Republican,TX,6,01/03/1985,01/03/2019,Methodist,White,Master's degree,Misc.,Public service/politics,,,,Did not serve,,,110,,Barton,,,,,,,,,Unknown,Republican,Male,Unknown
,Max,Sieben,,,12/11/1941,,2,U.S. Senator,Democrat,MT,,01/15/1979,02/06/2014,United Church of Christ,White,Professional degree,Law,,,,,Did not serve,,,110,,Baucus,,,,,,,,,Unknown,Democrat,Female,Unknown
,Evan,,,,12/26/1955,,2,U.S. Senator,Democrat,IN,,01/03/1999,01/03/2011,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,,110,,Bayh,,,,,,,,,Unknown,Democrat,Male,Unknown
,Melissa,,,,01/22/1962,,1,U.S. Representative,Democrat,IL,8,01/03/2005,01/03/2011,Serbian Orthodox,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,110,,Bean,,,,,,,,,Unknown,Democrat,Female,Unknown
,Xavier,,,,01/26/1958,,2,U.S. Representative,Democrat,CA,31,01/03/2003,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Law,,,,,Did not serve,,,110,,Becerra,,,,,,,,,Unknown,Democrat,Male,Unknown
,Robert,F.,,,09/18/1933,05/04/2016,2,U.S. Senator,Republican,UT,,01/05/1993,01/03/2011,Mormon,White,Bachelor's degree,Business or banking,Congressional Aide,Misc.,,,National Guard,,,110,,Bennett,,,,,,,,,Unknown,Republican,Male,Unknown
,Shelley,,,,01/20/1951,,1,U.S. Representative,Democrat,NV,1,01/03/1999,01/03/2013,Jewish,White,Professional degree,Law,,,,,Did not serve,,,110,,Berkley,,,,,,,,,Unknown,Democrat,Male,Unknown
,Howard,L.,,,04/15/1941,,2,U.S. Representative,Democrat,CA,28,01/03/2003,01/03/2013,Jewish,White,Professional degree,Law,,,,,Did not serve,,,110,,Berman,,,,,,,,,Unknown,Democrat,Male,Unknown
,Marion,,,,08/27/1942,,2,U.S. Representative,Democrat,AR,1,01/07/1997,01/03/2011,Methodist,White,Bachelor's degree,Agriculture,Public service/politics,,,,Did not serve,,,110,,Berry,,,,,,,,,Unknown,Democrat,Male,Unknown
,Joseph,Robinette,Jr.,Joe,11/20/1942,,2,U.S. Senator,Democrat,DE,,01/03/1973,01/15/2009,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Biden,,,,,,,,,Unknown,Democrat,Male,Unknown
,Judith,Borg,,,08/15/1937,,1,U.S. Representative,Republican,IL,13,01/03/1999,01/03/2013,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,,110,,Biggert,,,,,,,,,Unknown,Republican,Male,Unknown
,Brian,P.,,,01/28/1951,,2,U.S. Representative,Republican,CA,50,06/13/2006,01/03/2013,Roman Catholic,White,Bachelor's degree,Business or banking,Public service/politics,,,,Did not serve,,,110,,Bilbray,,,,,,,,,Unknown,Republican,Male,Unknown
,Gus,M.,,,02/08/1963,,2,U.S. Representative,Republican,FL,9,01/03/2007,01/03/2013,Greek Orthodox,White,Professional degree,Law,,,,,Did not serve,,,110,,Bilirakis,,,,,,,,,Unknown,Republican,Female,Unknown
,Jeff,,,,10/03/1943,,2,U.S. Senator,Democrat,NM,,01/03/1983,01/03/2013,Methodist,White,Professional degree,Law,,,,,Army Reserve,,,110,,Bingaman,,,,,,,,,Unknown,Democrat,Male,Unknown
,Robert,,,Rob,07/13/1951,,2,U.S. Representative,Republican,UT,1,01/03/2003,01/03/2021,Mormon,White,Bachelor's degree,Education,,,,,Did not serve,,,110,,Bishop,,,,,,,,,Unknown,Republican,Female,Unknown
,Sanford,D.,Jr.,,02/04/1947,,2,U.S. Representative,Democrat,GA,2,01/03/1993,01/03/2023,Baptist,African American,Professional degree,Law,,,,,Did not serve,,,110,,Bishop,,,,,,,,,Unknown,Democrat,Male,Unknown
,Sanford,D.,Jr.,,02/04/1947,,2,U.S. Representative,Democrat,GA,2,01/03/1993,01/03/2025,Baptist,African American,Professional degree,Law,,,,,Did not serve,,,110,,Bishop,,,,,,,,,Unknown,Democrat,Male,Unknown
,Timothy,H.,,,06/01/1950,,2,U.S. Representative,Democrat,NY,1,01/03/2003,01/03/2015,Roman Catholic,White,Master's degree,Education,,,,,Did not serve,,,110,,Bishop,,,,,,,,,Unknown,Democrat,Male,Unknown
,Marsha,,,,06/06/1952,,1,U.S. Representative,Republican,TN,7,01/03/2003,01/03/2019,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,110,,Blackburn,,,,,,,,,Unknown,Republican,Male,Unknown
,Earl,,,,08/16/1948,,2,U.S. Representative,Democrat,OR,3,05/21/1996,01/03/2023,Non-denominational Prostestant,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,110,,Blumenauer,,,,,,,,,Unknown,Democrat,Male,Unknown
,Earl,,,,08/16/1948,,2,U.S. Representative,Democrat,OR,3,05/21/1996,01/03/2025,Non-denominational Prostestant,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,110,,Blumenauer,,,,,,,,,Unknown,Democrat,Male,Unknown
,Roy,,,,01/10/1950,,2,U.S. Representative,Republican,MO,7,01/07/1997,01/03/2011,Baptist,White,Master's degree,Education,,,,,Did not serve,,,110,,Blunt,,,,,,,,,Unknown,Republican,Male,Unknown
,John,A.,,,11/17/1949,,2,U.S. Representative,Republican,OH,8,01/03/1991,10/31/2015,Roman Catholic,White,Bachelor's degree,Business or banking,Public service/politics,,,,Navy,,,110,,Boehner,,,,,,,,,Unknown,Republican,Female,Unknown
,Christopher,S.,,Kit,03/06/1939,,2,U.S. Senator,Republican,MO,,01/06/1987,01/03/2011,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,110,,Bond,,,,,,,,,Unknown,Republican,Male,Unknown
,Josiah,Robbins,Jr.,Jo,11/19/1959,,2,U.S. Representative,Republican,AL,1,01/03/2003,08/02/2013,Episcopalian,White,Bachelor's degree,Congressional Aide,,,,,Did not serve,,,110,,Bonner,,,,,,,,,Unknown,Republican,Male,Unknown
,Mary,,,,10/24/1961,,1,U.S. Representative,Republican,CA,45,01/03/2003,01/03/2013,Protestant,White,Bachelor's degree,Misc.,Public service/politics,,,,Did not serve,,,110,,Bono Mack,,,,,,,,,Unknown,Republican,Male,Unknown
,John,N.,,,12/10/1950,,2,U.S. Representative,Republican,AR,3,11/20/2001,01/02/2011,Baptist,White,Professional degree,Medicine,,,,,Did not serve,,,110,,Boozman,,,,,,,,,Unknown,Republican,Male,Unknown
,Dan,,,,08/02/1973,,2,U.S. Representative,Democrat,OK,2,01/03/2005,01/03/2013,Methodist,White,Master's degree,Congressional Aide,,,,,Did not serve,,,110,,Boren,,,,,,,,,Unknown,Democrat,Male,Unknown
,Leonard,L.,,,01/10/1934,08/17/2018,2,U.S. Representative,Democrat,IA,3,01/07/1997,01/03/2013,Reorganized Church of Jesus Christ of Latter-Day Saints,White,Bachelor's degree,Agriculture,Public service/politics,,,,Army,,,110,,Boswell,,,,,,,,,Unknown,Democrat,Male,Unknown
,Frederick,C.,,Rick,08/01/1946,,2,U.S. Representative,Democrat,VA,9,01/03/1983,01/03/2011,Methodist,White,Professional degree,Law,,,,,Did not serve,,,110,,Boucher,,,,,,,,,Unknown,Democrat,Male,Unknown
,Charles,W.,Jr.,,02/21/1956,,2,U.S. Representative,Republican,LA,7,01/03/2005,01/03/2013,Episcopalian,White,Professional degree,Journalism,,,,,Did not serve,,,110,,Boustany,,,,,,,,,Unknown,Republican,Male,Unknown
,Barbara,,,,11/11/1940,,1,U.S. Senator,Democrat,CA,,01/05/1993,01/03/2017,Jewish,White,Bachelor's degree,Business or banking,Congressional Aide,Journalism,,,Did not serve,,,110,,Boxer,,,,,,,,,Unknown,Democrat,Male,Unknown
,F.,Allen,Jr.,Allen,06/06/1945,,2,U.S. Representative,Democrat,FL,2,01/07/1997,01/03/2011,Methodist,White,Bachelor's degree,Agriculture,Public service/politics,,,,Army,,,110,,Boyd,,,,,,,,,Unknown,Democrat,Male,Unknown
,Nancy,,,,08/02/1955,,1,U.S. Representative,Democrat,KS,2,01/03/2007,01/05/2009,Methodist,White,Bachelor's degree,Misc.,,,,,Did not serve,,,110,,Boyda,,,,,,,,,Unknown,Democrat,Female,Unknown
,Kevin,,,,04/07/1955,,2,U.S. Representative,Republican,TX,8,01/20/1997,01/03/2023,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,110,,Brady,,,,,,,,,Unknown,Republican,Male,Unknown
,Robert,,,,04/07/1945,,2,U.S. Representative,Democrat,PA,1,05/19/1998,01/03/2019,Roman Catholic,White,High School graduate,Construction/building trades,Labor leader,Public service/politics,,,Did not serve,,,110,,Brady,,,,,,,,,Unknown,Democrat,Male,Unknown
,Bruce,,,,10/30/1957,,2,U.S. Representative,Democrat,IA,1,01/03/2007,01/03/2015,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,110,,Braley,,,,,,,,,Unknown,Democrat,Male,Unknown
,Paul,,,,05/14/1946,,2,U.S. Representative,Republican,GA,10,07/25/2007,01/03/2015,Baptist,White,Professional degree,Medicine,,,,,Ga. Air National Guard,Marine Corps Reserve,Naval Reserve,110,,Broun,,,,,,,,,Unknown,Republican,Female,Unknown
,Corrine,,,,11/11/1946,,1,U.S. Representative,Democrat,FL,3,01/05/1993,01/03/2013,Baptist,African American,Professional degree,Business or banking,Education,,,,Did not serve,,,110,,Brown,,,,,,,,,Unknown,Democrat,Female,Unknown
,Henry,,Jr.,,12/20/1935,,2,U.S. Representative,Republican,SC,1,01/03/2001,01/03/2011,Baptist,White,High School graduate,,,,,,Did not serve,,,110,,Brown,,,,,,,,,Unknown,Republican,Male,Unknown
,Sherrod,,,,11/09/1952,,2,U.S. Senator,Democrat,OH,,01/20/2007,01/03/2025,Presbyterian,White,Master's degree,Education,,,,,Did not serve,,,110,,Brown,,,,,,,,,Unknown,Democrat,Male,Unknown
,Sam,,,,09/12/1956,,2,U.S. Senator,Republican,KS,,11/27/1996,01/03/2011,Methodist,White,Professional degree,Education,Journalism,Law,Public service/politics,,Did not serve,,,110,,Brownback,,,,,,,,,Unknown,Republican,Male,Unknown
,Virginia,,,Ginny,10/05/1943,,1,U.S. Representative,Republican,FL,5,01/03/2003,01/03/2011,Roman Catholic,White,Master's degree,Education,,,,,Did not serve,,,110,,Brown-Waite,,,,,,,,,Unknown,Republican,Male,Unknown
,Vernon,G.,,Vern,05/08/1951,,2,U.S. Representative,Republican,FL,13,01/03/2007,01/03/2013,Baptist,White,Master's degree,Business or banking,,,,,Mich. Air National Guard,,,110,,Buchanan,,,,,,,,,Unknown,Republican,Male,Unknown
,James,Paul David,,Jim,10/23/1931,05/26/2017,2,U.S. Senator,Republican,KY,,01/03/1999,01/03/2011,Roman Catholic,White,Bachelor's degree,Business or banking,Sports,,,,Did not serve,,,110,,Bunning,,,,,,,,,Unknown,Republican,Male,Unknown
,Michael,,,,12/23/1950,,2,U.S. Representative,Republican,TX,26,01/20/2003,01/03/2023,Episcopalian,White,Master's degree,Medicine,,,,,Did not serve,,,110,,Burgess,,,,,,,,,Unknown,Republican,Female,Unknown
,Michael,,,,12/23/1950,,2,U.S. Representative,Republican,TX,26,01/20/2003,01/03/2025,Episcopalian,White,Master's degree,Medicine,,,,,Did not serve,,,110,,Burgess,,,,,,,,,Unknown,Republican,Male,Unknown
,Richard,M.,,,11/30/1955,,2,U.S. Senator,Republican,NC,,01/20/2005,01/03/2025,Methodist,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,110,,Burr,,,,,,,,,Unknown,Republican,Male,Unknown
,Danny,Lee,,Dan,06/21/1938,,2,U.S. Representative,Republican,IN,5,01/03/2003,01/03/2013,Protestant,White,Unknown,Business or banking,Real Estate,,,,Army,Reserve,Reserve,110,,Burton,,,,,,,,,Unknown,Republican,Male,Unknown
,George,Kenneth,Jr.,,04/27/1947,,2,U.S. Representative,Democrat,NC,1,07/20/2004,12/30/2022,Baptist,African American,Professional degree,Law,,,,,Army,,,110,,Butterfield,,,,,,,,,Unknown,Democrat,Male,Unknown
,Stephen,Earle,,Steve,11/26/1958,,2,U.S. Representative,Republican,IN,4,01/03/2003,01/03/2011,Methodist,White,Professional degree,Law,,,,,Army,Army Reserve,,110,,Buyer,,,,,,,,,Unknown,Republican,Male,Unknown
,Robert,Carlyle,,,11/20/1917,06/28/2010,2,U.S. Senator,Democrat,WV,,01/07/1959,06/28/2010,Baptist,White,Professional degree,Law,,,,,Did not serve,,,110,,Byrd,,,,,,,,,Unknown,Democrat,Male,Unknown
,Ken,,,,06/08/1953,,2,U.S. Representative,Republican,CA,44,01/03/2003,01/03/2013,Protestant,White,Bachelor's degree,Business or banking,Real Estate,,,,Did not serve,,,110,,Calvert,,,,,,,,,Unknown,Republican,Female,Unknown
,Dave,L.,,,07/09/1953,,2,U.S. Representative,Republican,MI,4,01/05/1993,01/03/2015,Roman Catholic,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,,110,,Camp,,,,,,,,,Unknown,Republican,Male,Unknown
,John,,,,07/19/1955,,2,U.S. Representative,Republican,CA,48,12/06/2005,01/03/2013,Presbyterian,White,Master's degree,Business or banking,,,,,Did not serve,,,110,,Campbell,,,,,,,,,Unknown,Republican,Female,Unknown
,Christopher,B.,,,10/20/1950,,2,U.S. Representative,Republican,UT,3,01/07/1997,01/05/2009,Mormon,White,Bachelor's degree,Business or banking,Law,,,,Did not serve,,,110,,Cannon,,,,,,,,,Unknown,Republican,Male,Unknown
,Eric,I.,,,06/06/1963,,2,U.S. Representative,Republican,VA,7,01/03/2001,08/18/2014,Jewish,White,Professional degree,Real Estate,,,,,Did not serve,,,110,,Cantor,,,,,,,,,Unknown,Republican,Male,Unknown
,Maria,E.,,,10/13/1958,,1,U.S. Senator,Democrat,WA,,01/03/2001,01/03/2025,Roman Catholic,White,Bachelor's degree,Misc.,,,,,Did not serve,,,110,,Cantwell,,,,,,,,,Unknown,Democrat,Male,Unknown
,Shelley,Moore,,,11/26/1953,,1,U.S. Representative,Republican,WV,2,01/03/2001,01/03/2015,Presbyterian,White,Master's degree,Education,,,,,Did not serve,,,110,,Capito,,,,,,,,,Unknown,Republican,Male,Unknown
,Lois,,,,01/10/1938,,1,U.S. Representative,Democrat,CA,23,01/03/2003,01/03/2013,Lutheran,White,Master's degree,Education,Medicine,,,,Did not serve,,,110,,Capps,,,,,,,,,Unknown,Democrat,Male,Unknown
,Michael,Everett,,,01/09/1952,,2,U.S. Representative,Democrat,MA,8,01/03/1999,01/03/2013,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Capuano,,,,,,,,,Unknown,Democrat,Male,Unknown
,Benjamin,L.,,,10/05/1943,,2,U.S. Senator,Democrat,MD,,01/20/2007,01/03/2025,Jewish,White,Professional degree,Law,,,,,Did not serve,,,110,,Cardin,,,,,,,,,Unknown,Democrat,Male,Unknown
,Dennis,A.,,,03/21/1959,,2,U.S. Representative,Democrat,CA,18,01/03/2003,08/15/2012,Roman Catholic,White,Bachelor's degree,Real Estate,,,,,Did not serve,,,110,,Cardoza,,,,,,,,,Unknown,Democrat,Male,Unknown
,Russ,,,,07/10/1958,,2,U.S. Representative,Democrat,MO,3,01/03/2005,01/03/2013,Methodist,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,,110,,Carnahan,,,,,,,,,Unknown,Democrat,Male,Unknown
,Christopher,,,,03/02/1959,,2,U.S. Representative,Democrat,PA,10,01/03/2007,01/03/2011,Roman Catholic,White,Doctorate degree,Education,,,,,Naval Reserve,,,110,,Carney,,,,,,,,,Unknown,Democrat,Male,Unknown
,Thomas,Richard,,,01/23/1947,,2,U.S. Senator,Democrat,DE,,01/03/2001,01/03/2025,Presbyterian,White,Master's degree,Public service/politics,,,,,Navy,Reserve,,110,,Carper,,,,,,,,,Unknown,Democrat,Male,Unknown
,André,,,,10/16/1974,,2,U.S. Representative,Democrat,IN,7,03/11/2008,01/03/2023,Muslim,African American,Master's degree,Business or banking,Law Enforcement,Public service/politics,,,Did not serve,,,110,,Carson,,,,,,,,,Unknown,Democrat,Female,Unknown
,André,,,,10/16/1974,,2,U.S. Representative,Democrat,IN,7,03/11/2008,01/03/2025,Muslim,African American,Master's degree,Business or banking,Law Enforcement,Public service/politics,,,Did not serve,,,110,,Carson,,,,,,,,,Unknown,Democrat,Male,Unknown
,Julia,,,,07/08/1938,12/15/2007,1,U.S. Representative,Democrat,IN,7,01/03/2003,12/15/2007,Baptist,African American,Bachelor's degree,Business or banking,Congressional Aide,Misc.,,,Did not serve,,,110,,Carson,,,,,,,,,Unknown,Democrat,Male,Unknown
,John,,,,11/06/1941,,2,U.S. Representative,Republican,TX,31,01/20/2003,01/03/2025,Lutheran,White,Professional degree,Law,,,,,Did not serve,,,110,,Carter,,,,,,,,,Unknown,Republican,Female,Unknown
,Robert,P.,Jr.,Bob,04/13/1960,,2,U.S. Senator,Democrat,PA,,01/20/2007,01/03/2025,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Casey,,,,,,,,,Unknown,Democrat,Female,Unknown
,Michael,N.,,,07/02/1939,,2,U.S. Representative,Republican,DE,AL,01/05/1993,01/03/2011,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Castle,,,,,,,,,Unknown,Republican,Male,Unknown
,Kathy,,,,08/20/1966,,1,U.S. Representative,Democrat,FL,11,01/03/2007,01/03/2013,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,110,,Castor,,,,,,,,,Unknown,Democrat,Male,Unknown
,Don,,,,01/17/1964,,2,U.S. Representative,Democrat,LA,6,05/03/2008,01/05/2009,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Cazayoux,,,,,,,,,Unknown,Democrat,Male,Unknown
,Steve,,,,01/22/1953,,2,U.S. Representative,Republican,OH,1,01/04/1995,01/05/2009,Roman Catholic,White,Professional degree,Education,Law,Public service/politics,,,Did not serve,,,110,,Chabot,,,,,,,,,Unknown,Republican,Male,Unknown
,Jason,,,,03/26/1967,,2,U.S. Representative,Republican,UT,3,01/03/2009,06/30/2017,Mormon,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,110,,Chaffetz,,,,,,,,,Unknown,Republican,Male,Unknown
,Saxby,,,,11/10/1943,,2,U.S. Senator,Republican,GA,,01/03/2003,01/03/2015,Episcopalian,White,Professional degree,Business or banking,Law,,,,Did not serve,,,110,,Chambliss,,,,,,,,,Unknown,Republican,Male,Unknown
,A.,Ben,,Ben,09/12/1959,,2,U.S. Representative,Democrat,KY,6,02/17/2004,01/03/2013,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,110,,Chandler,,,,,,,,,Unknown,Democrat,Male,Unknown
,Richard,B.,,,01/30/1941,,2,U.S. Vice President,Republican,,,01/20/2001,01/20/2009,Methodist,White,Master's degree,Business or banking,,,,,Did not serve,,,110,,Cheney,,,,,,,,,Unknown,Republican,Male,Unknown
,Travis,W,,,03/29/1958,,2,U.S. Representative,Democrat,MS,1,05/13/2008,01/03/2011,Baptist,White,Bachelor's degree,Business or banking,Real Estate,,,,Did not serve,,,110,,Childers,,,,,,,,,Unknown,Democrat,Female,Unknown
,Yvette,D.,,,11/21/1964,,1,U.S. Representative,Democrat,NY,11,01/03/2007,01/03/2013,Christian,African American,High School graduate,Public service/politics,,,,,Did not serve,,,110,,Clarke,,,,,,,,,Unknown,Democrat,Male,Unknown
,William,Lacy,Jr.,,07/27/1956,,2,U.S. Representative,Democrat,MO,1,01/03/2001,01/03/2021,Roman Catholic,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Clay,,,,,,,,,Unknown,Democrat,Male,Unknown
,Emanuel,,II,,10/26/1944,,2,U.S. Representative,Democrat,MO,5,01/20/2005,01/03/2023,Methodist,African American,Master's degree,Acting/entertainer,Clergy,,,,Did not serve,,,110,,Cleaver,,,,,,,,,Unknown,Democrat,Female,Unknown
,Emanuel,,II,,10/26/1944,,2,U.S. Representative,Democrat,MO,5,01/20/2005,01/03/2025,Methodist,African American,Master's degree,Acting/entertainer,Clergy,,,,Did not serve,,,110,,Cleaver,,,,,,,,,Unknown,Democrat,Male,Unknown
,Hillary,Rodham,,,10/26/1947,,1,U.S. Senator,Democrat,NY,,01/03/2001,01/21/2009,Methodist,White,Professional degree,Law,,,,,Did not serve,,,110,,Clinton,,,,,,,,,Unknown,Democrat,Male,Unknown
,James,E.,,,07/21/1940,,2,U.S. Representative,Democrat,SC,6,01/05/1993,01/03/2023,African Methodist Episcopalian,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Clyburn,,,,,,,,,Unknown,Democrat,Female,Unknown
,James,E.,,,07/21/1940,,2,U.S. Representative,Democrat,SC,6,01/05/1993,01/03/2025,African Methodist Episcopalian,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Clyburn,,,,,,,,,Unknown,Democrat,Female,Unknown
,Howard,,,,03/18/1931,11/03/2015,2,U.S. Representative,Republican,NC,6,01/03/1985,01/03/2015,Presbyterian,White,Professional degree,Business or banking,Law,,,,Coast Guard,Reserve,Reserve,110,,Coble,,,,,,,,,Unknown,Republican,Female,Unknown
,Tom,A.,,,03/14/1948,03/28/2020,2,U.S. Senator,Republican,OK,,01/03/2005,01/03/2015,Baptist,White,Professional degree,Business or banking,Medicine,,,,Did not serve,,,110,,Coburn,,,,,,,,,Unknown,Republican,Female,Unknown
,William,Thad,,Thad,12/07/1937,05/30/2019,2,U.S. Senator,Republican,MS,,01/03/1979,04/01/2018,Baptist,White,Professional degree,Law,,,,,Navy,,,110,,Cochran,,,,,,,,,Unknown,Republican,Female,Unknown
,Stephen,I.,,Steve,05/24/1949,,2,U.S. Representative,Democrat,TN,9,01/20/2007,01/03/2023,Jewish,White,Professional degree,Law,,,,,Did not serve,,,110,,Cohen,,,,,,,,,Unknown,Democrat,Male,Unknown
,Stephen,I.,,Steve,05/24/1949,,2,U.S. Representative,Democrat,TN,9,01/20/2007,01/03/2025,Jewish,White,Professional degree,Law,,,,,Did not serve,,,110,,Cohen,,,,,,,,,Unknown,Democrat,Male,Unknown
,Thomas,J.,,Tom,04/28/1949,,2,U.S. Representative,Republican,OK,4,01/20/2003,01/03/2023,Methodist,Native American,Doctorate degree,Education,,,,,Did not serve,,,110,,Cole,,,,,,,,,Unknown,Republican,Female,Unknown
,Thomas,J.,,Tom,04/28/1949,,2,U.S. Representative,Republican,OK,4,01/20/2003,01/03/2025,Methodist,Native American,Doctorate degree,Education,,,,,Did not serve,,,110,,Cole,,,,,,,,,Unknown,Republican,Male,Unknown
,Norman,,Jr.,,08/17/1949,,2,U.S. Senator,Republican,MN,,01/03/2003,01/05/2009,Jewish,White,Professional degree,Construction/building trades,Law,,,,Did not serve,,,110,,Coleman,,,,,,,,,Unknown,Republican,Female,Unknown
,Susan,Margaret,,,12/07/1952,,1,U.S. Senator,Republican,ME,,01/20/1997,01/03/2027,Roman Catholic,White,Bachelor's degree,Business or banking,Congressional Aide,Public service/politics,,,Did not serve,,,110,,Collins,,,,,,,,,Unknown,Republican,Female,Unknown
,Michael,K.,,Mike,06/11/1948,,2,U.S. Representative,Republican,TX,11,01/03/2005,01/03/2021,Baptist,White,Bachelor's degree,Business or banking,,,,,Army,,,110,,Conaway,,,,,,,,,Unknown,Republican,Female,Unknown
,Kent,,,,05/12/1948,,2,U.S. Senator,Democrat,ND,,01/06/1987,01/03/2013,Unitarian,White,Master's degree,Misc.,Public service/politics,,,,Did not serve,,,110,,Conrad,,,,,,,,,Unknown,Democrat,Male,Unknown
,John,,Jr.,,05/16/1929,10/27/2019,2,U.S. Representative,Democrat,MI,14,01/05/1993,01/03/2013,Baptist,African American,Bachelor's degree,Law,Public service/politics,,,,Army,National Guard,Reserve,110,,Conyers,,,,,,,,,Unknown,Democrat,Female,Unknown
,James,Hayes Shofner,,Jim,06/19/1954,,2,U.S. Representative,Democrat,TN,5,01/20/2003,01/03/2023,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,,110,,Cooper,,,,,,,,,Unknown,Democrat,Male,Unknown
,Bob,,,,08/24/1952,,2,U.S. Senator,Republican,TN,,01/03/2007,01/03/2019,Protestant,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,110,,Corker,,,,,,,,,Unknown,Republican,Male,Unknown
,John,,,,02/02/1952,,2,U.S. Senator,Republican,TX,,12/02/2002,01/03/2027,Church of Christ,White,Professional degree,Law,,,,,Did not serve,,,110,,Cornyn,,,,,,,,,Unknown,Republican,Male,Unknown
,Jim,,,,04/13/1952,,2,U.S. Representative,Democrat,CA,20,01/03/2005,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Costa,,,,,,,,,Unknown,Democrat,Female,Unknown
,Jerry,F.,,,09/25/1949,,2,U.S. Representative,Democrat,IL,12,01/04/1993,01/03/2013,Roman Catholic,White,Master's degree,Law Enforcement,,,,,Did not serve,,,110,,Costello,,,,,,,,,Unknown,Democrat,Male,Unknown
,Joe,,,,04/06/1953,,2,U.S. Representative,Democrat,CT,2,01/20/2007,01/03/2023,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Courtney,,,,,,,,,Unknown,Democrat,Male,Unknown
,Joe,,,,04/06/1953,,2,U.S. Representative,Democrat,CT,2,01/20/2007,01/03/2025,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Courtney,,,,,,,,,Unknown,Democrat,Male,Unknown
,Larry,E.,,,07/20/1945,,2,U.S. Senator,Republican,ID,,01/03/1991,01/02/2009,Methodist,White,Bachelor's degree,Agriculture,Real Estate,,,,National Guard,,,110,,Craig,,,,,,,,,Unknown,Republican,Female,Unknown
,Robert,E.,,Bud,08/22/1947,,2,U.S. Representative,Democrat,AL,5,01/03/1991,01/05/2009,Methodist,White,Bachelor's degree,Education,Law,,,,Army,Reserve,Reserve,110,,Cramer,,,,,,,,,Unknown,Democrat,Male,Unknown
,Michael,D.,,,05/20/1951,,2,U.S. Senator,Republican,ID,,01/20/1999,01/03/2029,Mormon,White,Professional degree,Law,,,,,Did not serve,,,110,,Crapo,,,,,,,,,Unknown,Republican,Male,Unknown
,Ander,,,,11/01/1944,,2,U.S. Representative,Republican,FL,4,01/03/2001,01/03/2017,Episcopalian,White,Professional degree,Business or banking,,,,,Did not serve,,,110,,Crenshaw,,,,,,,,,Unknown,Republican,Male,Unknown
,Joseph,,,,03/16/1962,,2,U.S. Representative,Democrat,NY,7,01/03/1999,01/03/2013,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Crowley,,,,,,,,,Unknown,Democrat,Female,Unknown
