Results for 108th Congress,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,congress,Results for 109th Congress,Results for 110th Congress,Results for 111th Congress,Results for 112th Congress,Results for 113th Congress,Results for 114th Congress,Results for 115th Congress,Results for 116th Congress,Results for 117th Congress,Results for 118th Congress
,Sam,,,,09/12/1956,,2,U.S. Senator,Republican,KS,,11/27/1996,01/03/2011,Methodist,White,Professional degree,Education,Journalism,Law,Public service/politics,,Did not serve,,,110,,Brownback,,,,,,,,
,Virginia,,,Ginny,10/05/1943,,1,U.S. Representative,Republican,FL,5,01/03/2003,01/03/2011,Roman Catholic,White,Master's degree,Education,,,,,Did not serve,,,110,,Brown-Waite,,,,,,,,
,Vernon,G.,,Vern,05/08/1951,,2,U.S. Representative,Republican,FL,13,01/03/2007,01/03/2013,Baptist,White,Master's degree,Business or banking,,,,,Mich. Air National Guard,,,110,,Buchanan,,,,,,,,
,James,Paul David,,Jim,10/23/1931,05/26/2017,2,U.S. Senator,Republican,KY,,01/03/1999,01/03/2011,Roman Catholic,White,Bachelor's degree,Business or banking,Sports,,,,Did not serve,,,110,,Bunning,,,,,,,,
,Michael,,,,12/23/1950,,2,U.S. Representative,Republican,TX,26,01/20/2003,01/03/2023,Episcopalian,White,Master's degree,Medicine,,,,,Did not serve,,,110,,Burgess,,,,,,,,
,Michael,,,,12/23/1950,,2,U.S. Representative,Republican,TX,26,01/20/2003,01/03/2025,Episcopalian,White,Master's degree,Medicine,,,,,Did not serve,,,110,,Burgess,,,,,,,,
,Richard,M.,,,11/30/1955,,2,U.S. Senator,Republican,NC,,01/20/2005,01/03/2025,Methodist,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,110,,Burr,,,,,,,,
,Danny,Lee,,Dan,06/21/1938,,2,U.S. Representative,Republican,IN,5,01/03/2003,01/03/2013,Protestant,White,Unknown,Business or banking,Real Estate,,,,Army,Reserve,Reserve,110,,Burton,,,,,,,,
,George,Kenneth,Jr.,,04/27/1947,,2,U.S. Representative,Democrat,NC,1,07/20/2004,12/30/2022,Baptist,African American,Professional degree,Law,,,,,Army,,,110,,Butterfield,,,,,,,,
,Stephen,Earle,,Steve,11/26/1958,,2,U.S. Representative,Republican,IN,4,01/03/2003,01/03/2011,Methodist,White,Professional degree,Law,,,,,Army,Army Reserve,,110,,Buyer,,,,,,,,
,Robert,Carlyle,,,11/20/1917,06/28/2010,2,U.S. Senator,Democrat,WV,,01/07/1959,06/28/2010,Baptist,White,Professional degree,Law,,,,,Did not serve,,,110,,Byrd,,,,,,,,
,Ken,,,,06/08/1953,,2,U.S. Representative,Republican,CA,44,01/03/2003,01/03/2013,Protestant,White,Bachelor's degree,Business or banking,Real Estate,,,,Did not serve,,,110,,Calvert,,,,,,,,
,Dave,L.,,,07/09/1953,,2,U.S. Representative,Republican,MI,4,01/05/1993,01/03/2015,Roman Catholic,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,,110,,Camp,,,,,,,,
,John,,,,07/19/1955,,2,U.S. Representative,Republican,CA,48,12/06/2005,01/03/2013,Presbyterian,White,Master's degree,Business or banking,,,,,Did not serve,,,110,,Campbell,,,,,,,,
,Christopher,B.,,,10/20/1950,,2,U.S. Representative,Republican,UT,3,01/07/1997,01/05/2009,Mormon,White,Bachelor's degree,Business or banking,Law,,,,Did not serve,,,110,,Cannon,,,,,,,,
,Eric,I.,,,06/06/1963,,2,U.S. Representative,Republican,VA,7,01/03/2001,08/18/2014,Jewish,White,Professional degree,Real Estate,,,,,Did not serve,,,110,,Cantor,,,,,,,,
,Maria,E.,,,10/13/1958,,1,U.S. Senator,Democrat,WA,,01/03/2001,01/03/2025,Roman Catholic,White,Bachelor's degree,Misc.,,,,,Did not serve,,,110,,Cantwell,,,,,,,,
,Shelley,Moore,,,11/26/1953,,1,U.S. Representative,Republican,WV,2,01/03/2001,01/03/2015,Presbyterian,White,Master's degree,Education,,,,,Did not serve,,,110,,Capito,,,,,,,,
,Lois,,,,01/10/1938,,1,U.S. Representative,Democrat,CA,23,01/03/2003,01/03/2013,Lutheran,White,Master's degree,Education,Medicine,,,,Did not serve,,,110,,Capps,,,,,,,,
,Michael,Everett,,,01/09/1952,,2,U.S. Representative,Democrat,MA,8,01/03/1999,01/03/2013,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Capuano,,,,,,,,
,Benjamin,L.,,,10/05/1943,,2,U.S. Senator,Democrat,MD,,01/20/2007,01/03/2025,Jewish,White,Professional degree,Law,,,,,Did not serve,,,110,,Cardin,,,,,,,,
,Dennis,A.,,,03/21/1959,,2,U.S. Representative,Democrat,CA,18,01/03/2003,08/15/2012,Roman Catholic,White,Bachelor's degree,Real Estate,,,,,Did not serve,,,110,,Cardoza,,,,,,,,
,Russ,,,,07/10/1958,,2,U.S. Representative,Democrat,MO,3,01/03/2005,01/03/2013,Methodist,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,,110,,Carnahan,,,,,,,,
,Christopher,,,,03/02/1959,,2,U.S. Representative,Democrat,PA,10,01/03/2007,01/03/2011,Roman Catholic,White,Doctorate degree,Education,,,,,Naval Reserve,,,110,,Carney,,,,,,,,
,Thomas,Richard,,,01/23/1947,,2,U.S. Senator,Democrat,DE,,01/03/2001,01/03/2025,Presbyterian,White,Master's degree,Public service/politics,,,,,Navy,Reserve,,110,,Carper,,,,,,,,
,André,,,,10/16/1974,,2,U.S. Representative,Democrat,IN,7,03/11/2008,01/03/2023,Muslim,African American,Master's degree,Business or banking,Law Enforcement,Public service/politics,,,Did not serve,,,110,,Carson,,,,,,,,
,André,,,,10/16/1974,,2,U.S. Representative,Democrat,IN,7,03/11/2008,01/03/2025,Muslim,African American,Master's degree,Business or banking,Law Enforcement,Public service/politics,,,Did not serve,,,110,,Carson,,,,,,,,
,Julia,,,,07/08/1938,12/15/2007,1,U.S. Representative,Democrat,IN,7,01/03/2003,12/15/2007,Baptist,African American,Bachelor's degree,Business or banking,Congressional Aide,Misc.,,,Did not serve,,,110,,Carson,,,,,,,,
,John,,,,11/06/1941,,2,U.S. Representative,Republican,TX,31,01/20/2003,01/03/2025,Lutheran,White,Professional degree,Law,,,,,Did not serve,,,110,,Carter,,,,,,,,
,Robert,P.,Jr.,Bob,04/13/1960,,2,U.S. Senator,Democrat,PA,,01/20/2007,01/03/2025,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Casey,,,,,,,,
,Michael,N.,,,07/02/1939,,2,U.S. Representative,Republican,DE,AL,01/05/1993,01/03/2011,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Castle,,,,,,,,
,Kathy,,,,08/20/1966,,1,U.S. Representative,Democrat,FL,11,01/03/2007,01/03/2013,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,110,,Castor,,,,,,,,
,Don,,,,01/17/1964,,2,U.S. Representative,Democrat,LA,6,05/03/2008,01/05/2009,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Cazayoux,,,,,,,,
,Steve,,,,01/22/1953,,2,U.S. Representative,Republican,OH,1,01/04/1995,01/05/2009,Roman Catholic,White,Professional degree,Education,Law,Public service/politics,,,Did not serve,,,110,,Chabot,,,,,,,,
,Jason,,,,03/26/1967,,2,U.S. Representative,Republican,UT,3,01/03/2009,06/30/2017,Mormon,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,110,,Chaffetz,,,,,,,,
,Saxby,,,,11/10/1943,,2,U.S. Senator,Republican,GA,,01/03/2003,01/03/2015,Episcopalian,White,Professional degree,Business or banking,Law,,,,Did not serve,,,110,,Chambliss,,,,,,,,
,A.,Ben,,Ben,09/12/1959,,2,U.S. Representative,Democrat,KY,6,02/17/2004,01/03/2013,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,110,,Chandler,,,,,,,,
,Richard,B.,,,01/30/1941,,2,U.S. Vice President,Republican,,,01/20/2001,01/20/2009,Methodist,White,Master's degree,Business or banking,,,,,Did not serve,,,110,,Cheney,,,,,,,,
,Travis,W,,,03/29/1958,,2,U.S. Representative,Democrat,MS,1,05/13/2008,01/03/2011,Baptist,White,Bachelor's degree,Business or banking,Real Estate,,,,Did not serve,,,110,,Childers,,,,,,,,
,Yvette,D.,,,11/21/1964,,1,U.S. Representative,Democrat,NY,11,01/03/2007,01/03/2013,Christian,African American,High School graduate,Public service/politics,,,,,Did not serve,,,110,,Clarke,,,,,,,,
,William,Lacy,Jr.,,07/27/1956,,2,U.S. Representative,Democrat,MO,1,01/03/2001,01/03/2021,Roman Catholic,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Clay,,,,,,,,
,Emanuel,,II,,10/26/1944,,2,U.S. Representative,Democrat,MO,5,01/20/2005,01/03/2023,Methodist,African American,Master's degree,Acting/entertainer,Clergy,,,,Did not serve,,,110,,Cleaver,,,,,,,,
,Emanuel,,II,,10/26/1944,,2,U.S. Representative,Democrat,MO,5,01/20/2005,01/03/2025,Methodist,African American,Master's degree,Acting/entertainer,Clergy,,,,Did not serve,,,110,,Cleaver,,,,,,,,
,Hillary,Rodham,,,10/26/1947,,1,U.S. Senator,Democrat,NY,,01/03/2001,01/21/2009,Methodist,White,Professional degree,Law,,,,,Did not serve,,,110,,Clinton,,,,,,,,
,James,E.,,,07/21/1940,,2,U.S. Representative,Democrat,SC,6,01/05/1993,01/03/2023,African Methodist Episcopalian,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Clyburn,,,,,,,,
,James,E.,,,07/21/1940,,2,U.S. Representative,Democrat,SC,6,01/05/1993,01/03/2025,African Methodist Episcopalian,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Clyburn,,,,,,,,
,Howard,,,,03/18/1931,11/03/2015,2,U.S. Representative,Republican,NC,6,01/03/1985,01/03/2015,Presbyterian,White,Professional degree,Business or banking,Law,,,,Coast Guard,Reserve,Reserve,110,,Coble,,,,,,,,
,Tom,A.,,,03/14/1948,03/28/2020,2,U.S. Senator,Republican,OK,,01/03/2005,01/03/2015,Baptist,White,Professional degree,Business or banking,Medicine,,,,Did not serve,,,110,,Coburn,,,,,,,,
,William,Thad,,Thad,12/07/1937,05/30/2019,2,U.S. Senator,Republican,MS,,01/03/1979,04/01/2018,Baptist,White,Professional degree,Law,,,,,Navy,,,110,,Cochran,,,,,,,,
,Stephen,I.,,Steve,05/24/1949,,2,U.S. Representative,Democrat,TN,9,01/20/2007,01/03/2023,Jewish,White,Professional degree,Law,,,,,Did not serve,,,110,,Cohen,,,,,,,,
,Stephen,I.,,Steve,05/24/1949,,2,U.S. Representative,Democrat,TN,9,01/20/2007,01/03/2025,Jewish,White,Professional degree,Law,,,,,Did not serve,,,110,,Cohen,,,,,,,,
,Thomas,J.,,Tom,04/28/1949,,2,U.S. Representative,Republican,OK,4,01/20/2003,01/03/2023,Methodist,Native American,Doctorate degree,Education,,,,,Did not serve,,,110,,Cole,,,,,,,,
,Thomas,J.,,Tom,04/28/1949,,2,U.S. Representative,Republican,OK,4,01/20/2003,01/03/2025,Methodist,Native American,Doctorate degree,Education,,,,,Did not serve,,,110,,Cole,,,,,,,,
,Norman,,Jr.,,08/17/1949,,2,U.S. Senator,Republican,MN,,01/03/2003,01/05/2009,Jewish,White,Professional degree,Construction/building trades,Law,,,,Did not serve,,,110,,Coleman,,,,,,,,
,Susan,Margaret,,,12/07/1952,,1,U.S. Senator,Republican,ME,,01/20/1997,01/03/2027,Roman Catholic,White,Bachelor's degree,Business or banking,Congressional Aide,Public service/politics,,,Did not serve,,,110,,Collins,,,,,,,,
,Michael,K.,,Mike,06/11/1948,,2,U.S. Representative,Republican,TX,11,01/03/2005,01/03/2021,Baptist,White,Bachelor's degree,Business or banking,,,,,Army,,,110,,Conaway,,,,,,,,
,Kent,,,,05/12/1948,,2,U.S. Senator,Democrat,ND,,01/06/1987,01/03/2013,Unitarian,White,Master's degree,Misc.,Public service/politics,,,,Did not serve,,,110,,Conrad,,,,,,,,
,John,,Jr.,,05/16/1929,10/27/2019,2,U.S. Representative,Democrat,MI,14,01/05/1993,01/03/2013,Baptist,African American,Bachelor's degree,Law,Public service/politics,,,,Army,National Guard,Reserve,110,,Conyers,,,,,,,,
,James,Hayes Shofner,,Jim,06/19/1954,,2,U.S. Representative,Democrat,TN,5,01/20/2003,01/03/2023,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,,110,,Cooper,,,,,,,,
,Bob,,,,08/24/1952,,2,U.S. Senator,Republican,TN,,01/03/2007,01/03/2019,Protestant,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,110,,Corker,,,,,,,,
,John,,,,02/02/1952,,2,U.S. Senator,Republican,TX,,12/02/2002,01/03/2027,Church of Christ,White,Professional degree,Law,,,,,Did not serve,,,110,,Cornyn,,,,,,,,
,Jim,,,,04/13/1952,,2,U.S. Representative,Democrat,CA,20,01/03/2005,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Costa,,,,,,,,
,Jerry,F.,,,09/25/1949,,2,U.S. Representative,Democrat,IL,12,01/04/1993,01/03/2013,Roman Catholic,White,Master's degree,Law Enforcement,,,,,Did not serve,,,110,,Costello,,,,,,,,
,Joe,,,,04/06/1953,,2,U.S. Representative,Democrat,CT,2,01/20/2007,01/03/2023,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Courtney,,,,,,,,
,Joe,,,,04/06/1953,,2,U.S. Representative,Democrat,CT,2,01/20/2007,01/03/2025,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Courtney,,,,,,,,
,Larry,E.,,,07/20/1945,,2,U.S. Senator,Republican,ID,,01/03/1991,01/02/2009,Methodist,White,Bachelor's degree,Agriculture,Real Estate,,,,National Guard,,,110,,Craig,,,,,,,,
,Robert,E.,,Bud,08/22/1947,,2,U.S. Representative,Democrat,AL,5,01/03/1991,01/05/2009,Methodist,White,Bachelor's degree,Education,Law,,,,Army,Reserve,Reserve,110,,Cramer,,,,,,,,
,Michael,D.,,,05/20/1951,,2,U.S. Senator,Republican,ID,,01/20/1999,01/03/2029,Mormon,White,Professional degree,Law,,,,,Did not serve,,,110,,Crapo,,,,,,,,
,Ander,,,,11/01/1944,,2,U.S. Representative,Republican,FL,4,01/03/2001,01/03/2017,Episcopalian,White,Professional degree,Business or banking,,,,,Did not serve,,,110,,Crenshaw,,,,,,,,
,Joseph,,,,03/16/1962,,2,U.S. Representative,Democrat,NY,7,01/03/1999,01/03/2013,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Crowley,,,,,,,,
,Barbara,,,,11/30/1946,,1,U.S. Representative,Republican,WY,AL,01/04/1995,01/05/2009,Episcopalian,White,Bachelor's degree,Medicine,Real Estate,,,,Did not serve,,,110,,Cubin,,,,,,,,
,Henry,,,,09/19/1955,,2,U.S. Representative,Democrat,TX,28,01/20/2005,01/03/2023,Roman Catholic,Hispanic,Professional degree,Law,,,,,Did not serve,,,110,,Cuellar,,,,,,,,
,Henry,,,,09/19/1955,,2,U.S. Representative,Democrat,TX,28,01/20/2005,01/03/2025,Roman Catholic,Hispanic,Professional degree,Law,,,,,Did not serve,,,110,,Cuellar,,,,,,,,
,John,,,,08/24/1956,,2,U.S. Representative,Republican,TX,7,01/03/2001,01/03/2019,Methodist,White,Professional degree,Law,,,,,Did not serve,,,110,,Culberson,,,,,,,,
,Elijah,E.,,,01/18/1951,10/17/2019,2,U.S. Representative,Democrat,MD,7,04/16/1996,10/17/2019,Baptist,African American,Professional degree,Law,,,,,Did not serve,,,110,,Cummings,,,,,,,,
,Artur,,,,04/09/1967,,2,U.S. Representative,Democrat,AL,7,01/03/2003,01/03/2011,Not specified,African American,Professional degree,Journalism,Law,,,,Did not serve,,,110,,Davis,,,,,,,,
,Danny,K.,,,09/06/1941,,2,U.S. Representative,Democrat,IL,7,01/07/1997,01/03/2025,Baptist,African American,Doctorate degree,Education,Medicine,Public service/politics,,,Did not serve,,,110,,Davis,,,,,,,,
,David,,,,11/06/1959,,2,U.S. Representative,Republican,TN,1,01/03/2007,01/05/2009,Baptist,White,Bachelor's degree,Medicine,,,,,Did not serve,,,110,,Davis,,,,,,,,
,Geoff,,,,10/26/1958,,2,U.S. Representative,Republican,KY,4,01/03/2005,07/31/2012,Baptist,White,Bachelor's degree,Business or banking,,,,,Army,,,110,,Davis,,,,,,,,
,Jo Ann,S.,,,06/29/1950,10/06/2007,1,U.S. Representative,Republican,VA,1,01/03/2001,01/05/2009,Assembly of God,White,High School graduate,,,,,,Did not serve,,,110,,Davis,,,,,,,,
,Lincoln,E,,,09/13/1943,,2,U.S. Representative,Democrat,TN,4,01/03/2003,01/03/2011,Baptist,White,Bachelor's degree,Business or banking,Construction/building trades,Engineering,,,Did not serve,,,110,,Davis,,,,,,,,
,Susan,A.,,,04/13/1944,,1,U.S. Representative,Democrat,CA,53,01/03/2003,01/03/2021,Jewish,White,Master's degree,Misc.,Public service/politics,,,,Did not serve,,,110,,Davis,,,,,,,,
,Thomas,M.,III,,01/05/1949,,2,U.S. Representative,Republican,VA,11,01/04/1995,01/05/2009,Christian Scientist,White,Professional degree,Business or banking,Law,Public service/politics,,,National Guard,,,110,,Davis,,,,,,,,
,John,Nathan,,,08/25/1942,,2,U.S. Representative,Republican,GA,10,01/03/2003,01/03/2007,Baptist,White,Professional degree,Law,,,,,Army,,,110,,Deal,,,,,,,,
,John,Nathan,,,08/25/1942,,2,U.S. Representative,Republican,GA,9,01/03/2007,03/21/2010,Baptist,White,Professional degree,Law,,,,,Army,,,110,,Deal,,,,,,,,
,Peter,A.,,,05/27/1947,,2,U.S. Representative,Democrat,OR,4,01/06/1987,01/03/2023,Roman Catholic,White,Master's degree,Congressional Aide,,,,,Air Force,,,110,,DeFazio,,,,,,,,
,Diana,,,,07/29/1957,,1,U.S. Representative,Democrat,CO,1,01/07/1997,01/03/2023,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,110,,DeGette,,,,,,,,
,Diana,,,,07/29/1957,,1,U.S. Representative,Democrat,CO,1,01/07/1997,01/03/2025,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,110,,DeGette,,,,,,,,
,William,D.,,Bill,07/18/1941,,2,U.S. Representative,Democrat,MA,10,01/07/1997,01/03/2011,Roman Catholic,White,Professional degree,Law,,,,,Coast Guard,,,110,,Delahunt,,,,,,,,
,Rosa,L.,,,03/02/1943,,1,U.S. Representative,Democrat,CT,3,01/03/1991,01/03/2023,Roman Catholic,White,Master's degree,Congressional Aide,Public service/politics,,,,Did not serve,,,110,,DeLauro,,,,,,,,
,Rosa,L.,,,03/02/1943,,1,U.S. Representative,Democrat,CT,3,01/03/1991,01/03/2025,Roman Catholic,White,Master's degree,Congressional Aide,Public service/politics,,,,Did not serve,,,110,,DeLauro,,,,,,,,
,James,W,,,09/02/1951,,2,U.S. Senator,Republican,SC,,01/03/2005,01/03/2011,Presbyterian,White,Master's degree,Business or banking,,,,,Did not serve,,,110,,DeMint,,,,,,,,
,Charles,Wieder,,,05/24/1960,,2,U.S. Representative,Republican,PA,15,01/03/2005,05/12/2018,Presbyterian,White,Master's degree,Congressional Aide,,,,,Did not serve,,,110,,Dent,,,,,,,,
,Lincoln,,,,08/13/1954,,2,U.S. Representative,Republican,FL,21,01/05/1993,01/03/2011,Roman Catholic,Hispanic,Professional degree,Law,,,,,Did not serve,,,110,,Diaz-Balart,,,,,,,,
,Mario,,,,09/25/1961,,2,U.S. Representative,Republican,FL,25,01/03/2003,01/03/2011,Roman Catholic,Hispanic,High School graduate,Business or banking,,,,,Did not serve,,,110,,Diaz-Balart,,,,,,,,
,Norman,DeValois,,,12/16/1940,,2,U.S. Representative,Democrat,WA,6,01/04/1977,01/03/2013,Lutheran,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,,110,,Dicks,,,,,,,,
,John,David,Jr.,,07/08/1926,,2,U.S. Representative,Democrat,MI,15,01/03/2003,01/03/2013,Roman Catholic,White,Professional degree,Law,,,,,Army,,,110,,Dingell,,,,,,,,
,Christopher,J.,,,05/27/1944,,2,U.S. Senator,Democrat,CT,,01/05/1981,01/03/2011,Roman Catholic,White,Professional degree,Law,,,,,Army Reserve,,,110,,Dodd,,,,,,,,
,Lloyd,,,,10/06/1946,,2,U.S. Representative,Democrat,TX,10,01/04/1995,01/03/2005,Methodist,White,Professional degree,Education,Law,Public service/politics,,,Did not serve,,,110,,Doggett,,,,,,,,
,Lloyd,,,,10/06/1946,,2,U.S. Representative,Democrat,TX,25,01/04/2005,01/03/2013,Methodist,White,Professional degree,Education,Law,Public service/politics,,,Did not serve,,,110,,Doggett,,,,,,,,
,Elizabeth,Hanford,,Liddy,07/29/1936,,1,U.S. Senator,Republican,NC,,01/03/2003,01/05/2009,Methodist,White,Professional degree,Law,Medicine,,,,Did not serve,,,110,,Dole,,,,,,,,
,Pete,Vichi,,,05/07/1932,09/13/2017,2,U.S. Senator,Republican,NM,,01/03/1973,01/02/2009,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Domenici,,,,,,,,
,Joe,,,,09/28/1955,,2,U.S. Representative,Democrat,IN,2,01/03/2007,01/03/2013,Roman Catholic,White,Professional degree,Business or banking,,,,,Did not serve,,,110,,Donnelly,,,,,,,,
,John,T.,,,10/30/1950,,2,U.S. Representative,Republican,CA,4,01/05/1993,01/05/2009,Mormon,White,Professional degree,Public service/politics,,,,,Did not serve,,,110,,Doolittle,,,,,,,,
,Byron,Leslie,,,05/14/1942,,2,U.S. Senator,Democrat,ND,,01/05/1993,01/03/2011,Lutheran,White,Master's degree,Public service/politics,,,,,Did not serve,,,110,,Dorgan,,,,,,,,
,Michael,F.,Jr.,Mike,08/05/1953,,2,U.S. Representative,Democrat,PA,14,01/03/2003,01/03/2019,Roman Catholic,White,Bachelor's degree,Business or banking,Public service/politics,,,,Did not serve,,,110,,Doyle,,,,,,,,
,Thelma,,,,11/20/1949,,1,U.S. Representative,Republican,VA,2,01/03/2005,01/05/2009,United Church of Christ,White,High School graduate,Real Estate,,,,,Did not serve,,,110,,Drake,,,,,,,,
,David,T.,,,07/05/1952,,2,U.S. Representative,Republican,CA,26,01/03/2003,01/03/2013,Christian Scientist,White,Master's degree,Business or banking,,,,,Did not serve,,,110,,Dreier,,,,,,,,
,John,J.,Jr.,"Jimmy, Jr.",07/21/1947,,2,U.S. Representative,Republican,TN,2,01/03/1989,01/03/2019,Presbyterian,White,Professional degree,Law,,,,,Army National Guard,,,110,,Duncan,,,,,,,,
,Richard,Joseph,,,11/21/1944,,2,U.S. Senator,Democrat,IL,,01/20/1997,01/03/2027,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,110,,Durbin,,,,,,,,
,Donna,F.,,,06/28/1958,,1,U.S. Representative,Democrat,MD,4,06/17/2008,01/03/2017,Baptist,African American,Professional degree,Aeronautics,Law,,,,Did not serve,,,110,,Edwards,,,,,,,,
,Thomas,Chester,,Chet,11/24/1951,,2,U.S. Representative,Democrat,TX,11,01/03/1991,01/03/2005,Methodist,White,Master's degree,Business or banking,Misc.,,,,Did not serve,,,110,,Edwards,,,,,,,,
,Thomas,Chester,,Chet,11/24/1951,,2,U.S. Representative,Democrat,TX,17,01/03/2005,01/03/2011,Methodist,White,Master's degree,Business or banking,Misc.,,,,Did not serve,,,110,,Edwards,,,,,,,,
,Vernon,J.,,,02/06/1934,08/15/2017,2,U.S. Representative,Republican,MI,3,12/07/1993,01/03/2011,Christian,White,Doctorate degree,Education,Medicine,,,,Did not serve,,,110,,Ehlers,,,,,,,,
,Keith,,,,08/04/1963,,2,U.S. Representative,Democrat,MN,5,01/03/2007,01/03/2019,Muslim,African American,Professional degree,Law,,,,,Did not serve,,,110,,Ellison,,,,,,,,
,Brad,,,,09/11/1958,,2,U.S. Representative,Democrat,IN,8,01/03/2007,01/03/2011,Roman Catholic,White,Master's degree,Law Enforcement,,,,,Did not serve,,,110,,Ellsworth,,,,,,,,
,Rahm,,,,11/29/1959,,2,U.S. Representative,Democrat,IL,5,01/03/2003,01/05/2009,Jewish,White,Master's degree,Congressional Aide,,,,,Did not serve,,,110,,Emanuel,,,,,,,,
,Jo Ann,,,,09/16/1950,,1,U.S. Representative,Republican,MO,8,01/08/1997,01/22/2013,Presbyterian,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Emerson,,,,,,,,
,Eliot,L.,,,02/18/1947,,2,U.S. Representative,Democrat,NY,17,01/05/1993,01/03/2013,Jewish,White,Professional degree,Education,Public service/politics,,,,Did not serve,,,110,,Engel,,,,,,,,
,Philip,S.,,Phil,06/20/1956,,2,U.S. Representative,Republican,PA,3,01/03/2003,01/05/2009,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,English,,,,,,,,
,John,Eric,,,03/25/1958,,2,U.S. Senator,Republican,NV,,01/03/2001,05/03/2011,Christian,White,Professional degree,Business or banking,Medicine,,,,Did not serve,,,110,,Ensign,,,,,,,,
,Michael,B.,,,02/01/1944,07/26/2021,2,U.S. Senator,Republican,WY,,01/03/1997,01/03/2021,Presbyterian,White,Master's degree,Business or banking,,,,,Air National Guard-Wyoming,,,110,,Enzi,,,,,,,,
,Anna,G.,,,12/13/1942,,1,U.S. Representative,Democrat,CA,14,01/05/1993,01/03/2013,Roman Catholic,White,Associate degree,Public service/politics,,,,,Did not serve,,,110,,Eshoo,,,,,,,,
,Bobby,R.,,Bob,08/07/1941,,2,U.S. Representative,Democrat,NC,2,01/07/1997,01/03/2011,Presbyterian,White,Bachelor's degree,Agriculture,Business or banking,Public service/politics,,,Army,,,110,,Etheridge,,,,,,,,
,Terry,,,,02/15/1937,,2,U.S. Representative,Republican,AL,2,01/05/1993,01/05/2009,Baptist,White,High School graduate,Agriculture,Business or banking,Journalism,Real Estate,,Air Force,,,110,,Everett,,,,,,,,
,Mary,,,,12/09/1954,,1,U.S. Representative,Republican,OK,5,01/03/2007,01/03/2011,Christian,White,Bachelor's degree,Real Estate,,,,,Did not serve,,,110,,Fallin,,,,,,,,
,Sam,,,,07/04/1941,,2,U.S. Representative,Democrat,CA,17,06/08/1993,01/03/2013,Episcopalian,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Farr,,,,,,,,
,Chaka,,,,11/21/1956,,2,U.S. Representative,Democrat,PA,2,01/04/1995,06/23/2016,Baptist,African American,Master's degree,Public service/politics,,,,,Did not serve,,,110,,Fattah,,,,,,,,
,Thomas,C.,III,,05/21/1958,,2,U.S. Representative,Republican,FL,24,01/03/2003,01/05/2009,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,110,,Feeney,,,,,,,,
,Russell,D.,,,03/02/1953,,2,U.S. Senator,Democrat,WI,,01/05/1993,01/03/2011,Jewish,White,Professional degree,Law,,,,,Did not serve,,,110,,Feingold,,,,,,,,
,Dianne,,,,06/22/1933,09/29/2023,1,U.S. Senator,Democrat,CA,,11/04/1992,09/29/2023,Jewish,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,110,,Feinstein,,,,,,,,
,Mike,,,,06/22/1970,,2,U.S. Representative,Republican,NJ,7,01/03/2001,01/05/2009,Roman Catholic,White,Master's degree,Education,,,,,Did not serve,,,110,,Ferguson,,,,,,,,
